9504, -19972, -4604, -18199, -7241, 32767, 10532, -19904, -4476, -18410, -7570, 32767, 17076, -19152, -3100, -19633, -10090, 32767, 23128, -18028, -456, -19571, -13211, 32767, 28096, -18032, 3400, -17821, -15743, 32767, 31336, -18620, 5432, -15514, -17374, 32767, 32767, -19200, 9176, -13446, -18920, 32767, 32767, -19104, 13096, -9024, -18932, 32767, 32767, -16592, 15160, -3633, -17414, 32767, 32767, -11520, 14248, 421, -15299, 32767, 32767, -6856, 11260, 1036, -12545, 32767, 32767, -2140, 8660, -1501, -9589, 32767, 32767, 1652, 8100, -4942, -7237, 32767, 32767, 4008, 8220, -6522, -5770, 31985, 32767, 6640, 7968, -5888, -5974, 23989, 32767, 8264, 6964, -4002, -6721, 17756, 32767, 9244, 4564, -3006, -5265, 15125
9792, -4852, -3592, 3595, 9098, -30753, 9148, -4864, -3736, 3544, 8990, -30362, 6148, -5544, -3688, 4122, 7913, -28005, 3032, -5172, -4596, 5231, 5754, -24544, 440, -3496, -5896, 5092, 2963, -20435, 316, -1616, -5584, 3542, 687, -16556, 24, -604, -4984, 2523, -176, -13680, 1016, 328, -5068, 1453, -42, -11731, 1384, 1752, -3916, 380, 973, -10265, 2844, 2468, -3220, 138, 2246, -10650, 260, 5772, -4544, -936, 2457, -10095, 764, 4888, -4088, -1731, 2916, -7272, 156, 5904, -3364, -3580, 2774, -6222, -232, 6848, -1060, -1323, 1263, -4830, -88, 7752, -1920, 2826, -1415, -2279, 820, 9332, -2692, 4299, -3121, 299, 2244, 10736, -2440, 5172, -3996, -150
31744, 11860, 3088, 2137, 1263, -17726, 32652, 12272, 3508, 2274, 1474, -18323, 32767, 15472, 5112, 3475, 1931, -22057, 32767, 18944, 6488, 5325, 2378, -28228, 32767, 21972, 6220, 6630, 2336, -32512, 32767, 21432, 5680, 6663, 1004, -32512, 32767, 17720, 6164, 6148, -494, -32512, 32767, 11080, 8216, 5279, -573, -32512, 32767, 4372, 9332, 5157, 2224, -32512, 32767, -1720, 9200, 5791, 6392, -32512, 32767, -5920, 7564, 8608, 10566, -32512, 32767, -9276, 5088, 12544, 11385, -32512, 27620, -12240, 2496, 16634, 10228, -32512, 22936, -13208, -360, 19176, 7696, -32512, 19480, -12216, -1652, 20181, 3307, -32512, 17992, -11412, -1248, 20141, -1474, -32512, 18420, -11808, -888, 19353, -2761, -32512
12284, -14192, -5512, -7806, -8547, 32767, 13124, -14136, -5440, -7768, -8816, 32767, 17740, -13936, -3512, -7202, -9278, 32767, 24084, -13076, -2016, -7150, -7787, 32767, 31088, -10704, -604, -9438, -4408, 32767, 32767, -9828, -568, -14060, -1646, 32767, 32767, -10032, 312, -20761, 871, 32767, 32767, -8308, 6508, -25988, 994, 32767, 32767, -6428, 13328, -25500, 1061, 32767, 32767, -6164, 17372, -17136, 730, 32767, 32767, -4824, 14820, -6872, -2006, 32767, 32767, -372, 9804, -99, -5316, 32767, 32767, 5248, 3912, -181, -7240, 32767, 32767, 9392, 2916, -3512, -6430, 32767, 32767, 13320, 1804, -9013, -4143, 32597, 32767, 16936, 480, -15161, -2249, 19989, 32767, 13748, 3868, -24345, 933, 16786
21956, -6064, -3136, 23511, 1937, -32512, 21504, -6016, -3580, 23256, 1296, -32512, 19180, -6372, -5644, 20623, -1744, -32512, 18592, -6452, -5232, 16571, -2621, -32512, 18256, -7388, -3292, 12737, 411, -32512, 15308, -9948, -2164, 10930, 4000, -32512, 12600, -10224, -3016, 11026, 5056, -32512, 8812, -8424, -5160, 10811, 3806, -31416, 6824, -5828, -5612, 9309, 1927, -28456, 5140, -4868, -5520, 7521, 380, -25694, 4960, -4860, -5376, 6001, -433, -23626, 4812, -4188, -5008, 5100, -161, -22820, 3504, -3636, -5384, 3840, 389, -21975, 1640, -2984, -5624, 1799, 690, -19811, 36, -1764, -5516, -34, 812, -16780, -1120, -368, -4972, -1452, 962, -13556, -808, 988, -4760, -2377, 1187, -11036
24800, 7840, 4260, -12580, 5538, -4293, 24140, 7268, 4120, -11859, 5556, -4741, 20968, 3844, 3112, -7138, 5048, -6120, 19672, 2096, 1636, -3002, 3636, -6417, 18900, 1076, 480, -246, 2404, -6554, 17780, 8, -708, 1150, 1892, -6277, 16860, -816, -2168, 1577, 3037, -5511, 15036, -1900, -3724, 1193, 5031, -3500, 13124, -2348, -5400, 746, 6143, -1151, 12560, -2368, -6972, -180, 5745, 796, 12832, -1344, -7728, -2104, 3780, 1937, 14540, -952, -6772, -4116, 1416, 2383, 15496, -196, -6616, -6016, 532, 2745, 17148, 344, -4936, -8183, 68, 2562, 18412, 248, -3256, -9305, -282, 1427, 19256, -324, -1808, -9484, -450, -140, 19352, -1044, -1072, -9540, -125, -1370
3892, 12428, -1144, -13132, 5157, 2775, 3252, 12560, -360, -13000, 5076, 2963, 3504, 14080, 1764, -8147, 9040, 6416, 764, 14240, 1952, -10332, 4295, 6746, 3044, 13980, -808, -4364, -1075, 5617, 1904, 12012, 824, -2479, -3816, 5805, 1396, 11356, -392, 203, -4585, 5455, -344, 10548, -1572, 434, -4371, 6397, 288, 10096, -2088, -1377, -2789, 8718, 1104, 9712, -2152, -4560, -167, 10691, 2612, 8888, -252, -5932, 2979, 11835, 2940, 7136, 684, -5437, 6091, 12931, 3172, 5808, -300, -3510, 7567, 14093, 2548, 4004, -2276, -1632, 5701, 15100, 1808, 2408, -3656, 708, 2192, 16622, 948, 240, -4148, 2700, -2164, 18657, 1732, -2028, -4560, 5922, -4625, 20674
15312, -14216, -5096, 32452, 2092, -32512, 14792, -13852, -5888, 32481, 887, -32512, 13604, -11372, -11208, 27819, -2711, -32512, 12788, -12432, -13024, 17890, -2522, -32512, 10772, -12748, -11616, 8488, -1698, -32512, 8804, -12536, -9976, 1858, 280, -32512, 5804, -13348, -8384, -2812, 2915, -32182, 2088, -13692, -7456, -5495, 5308, -28315, -48, -12988, -6284, -6521, 6647, -22865, -1692, -11692, -5232, -5987, 6460, -17807, -2676, -10148, -4360, -3776, 5307, -13227, -3552, -8204, -4756, -1207, 3315, -9294, -4444, -5412, -5300, 204, 827, -6453, -4252, -2468, -5460, 123, -692, -4278, -3692, 680, -5368, -1767, -975, -2412, -4200, 2984, -3664, -4001, -636, 542, -2904, 5892, -1592, -5149, 547, 4453
30600, -16148, 264, -14793, 4944, 32767, 31652, -16480, 196, -15363, 5199, 32767, 32767, -18892, 912, -17415, 2967, 32767, 32767, -21240, 3032, -16223, -2877, 32767, 32767, -22832, 5388, -12514, -9861, 32767, 32767, -21684, 7420, -7652, -13910, 32767, 32767, -19584, 7336, -4930, -13023, 32767, 32767, -14720, 6256, -3801, -10576, 32767, 32767, -10012, 4560, -3043, -8634, 32767, 32767, -4068, 3740, -1994, -7739, 32767, 32767, 3804, 1896, -2720, -6809, 32767, 32767, 11892, 168, -7784, -5779, 32767, 32767, 18172, 2640, -13963, -4130, 25548, 32767, 19172, 7164, -14460, -4113, 12012, 32767, 16616, 6756, -13675, -2180, -336, 30892, 12876, 4148, -17319, 1960, -6147, 25476, 6932, 6688, -18633, 7811, -3936
23312, -11320, -6592, 17792, -6741, -32512, 23372, -11248, -6504, 16626, -6935, -32512, 23216, -10492, -6584, 8064, -3115, -32512, 21180, -12360, -6372, -56, 4601, -32512, 16312, -13508, -5320, -5090, 9055, -32512, 12140, -12588, -5364, -6790, 10414, -32512, 10264, -12956, -4652, -7659, 9723, -32147, 7336, -13236, -3100, -5263, 7422, -30496, 3968, -12292, -1480, -643, 4912, -28600, 876, -10916, -992, 4647, 3220, -26155, -2532, -9212, -2124, 8537, 2044, -22202, -3692, -6608, -2980, 10265, 2307, -17494, -4460, -3964, -5008, 9729, 3927, -12036, -3964, -1364, -5716, 7971, 5628, -7037, -2620, 1880, -7112, 5229, 5808, -4356, -976, 4032, -7556, 1686, 5381, -3425, -1584, 7400, -9120, -3108, 5016, -2483
